"CODE DECLARANT";"CODE DIFFUSEUR";GRID;"CODE EAN 13";"CODE UPC";"IDENTIFIANT PRODUIT DECLARANT";"TYPE SERVICE";"TYPE PRODUIT";"TITRE PRODUIT";"TITRE OEUVRE";"NOM COMPOSITEUR";"NOM AUTEUR";"NOM EDITEUR";"NOM INTERPRETE";LABEL;"DUREE OEUVRE";"DATE DEBUT PERIODE";"DATE FIN PERIODE";"TERRITOIRE VENTE";QUANTITE;"NOM DE L'OFFRE COMMERCIALE";"TYPE MODELE COMMERCIAL";"TYPE CANAL DISTRIBUTION";"TYPE UTILISATION";"PRIX UNITAIRE HT";DEVISE

TESTONLINE;TOL;;;;;MUSI;SINGLE;Shed;"June And The Empty Jar";"13th Procession";;;;;3:54;01/05/2020;30/05/2020;FR;4;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"39th and Norton";Pictures;"39th and Norton";;;;;3:21;01/05/2020;30/05/2020;FR;2;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Introducing a guy in light";Life;"A guy in light";;;;;4:59;01/05/2020;30/05/2020;FR;4;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Introducing a guy in light";"Wait for the shiny day";"A guy in light";;;;;4:31;01/05/2020;30/05/2020;FR;4;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;Factory;"From loneliness to scared";"Am I haty";;;;;3:04;01/05/2020;30/05/2020;FR;3;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;Factory;"Burnt paper";"Am I haty";;;;;4:20;01/05/2020;30/05/2020;FR;4;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Back Home";"Back Home";Andevy;;;;;4:28;01/05/2020;30/05/2020;FR;8;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Back Home";"You Leave Me All Alone";Andevy;;;;;3:22;01/05/2020;30/05/2020;FR;4;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Instants fragiles";"Je préfere la mer";"Annie W";;;;;5:20;01/05/2020;30/05/2020;FR;3;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Pour mieux comprendre mes copains et moi";"Gymnastique en musique";Annika;;;;;2:13;01/05/2020;30/05/2020;FR;32;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Black Maria";Eddy;"Black Maria";;;;;2:35;01/05/2020;30/05/2020;FR;4;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Les traces";Korga;"Black Maria";;;;;2:42;01/05/2020;30/05/2020;FR;16;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Cent Nuits";Heroes;"Black Maria";;;;;3:25;01/05/2020;30/05/2020;FR;4;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Black Maria";"Saya la mère";"Black Maria";;;;;4:02;01/05/2020;30/05/2020;FR;17;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Les traces";"Les traces";"Black Maria";;;;;5:00;01/05/2020;30/05/2020;FR;8;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Poison vert";Monna;"Black Maria";;;;;3:04;01/05/2020;30/05/2020;FR;8;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Les traces";"Finir à genoux";"Black Maria";;;;;4:00;01/05/2020;30/05/2020;FR;8;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Black Maria";"La foret";"Black Maria";;;;;3:53;01/05/2020;30/05/2020;FR;8;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Les traces";"J'ai vu";"Black Maria";;;;;6:01;01/05/2020;30/05/2020;FR;4;;FREE;INTERNET;ON_DEM_STRE;0;EURO
